Player,Season,Age,Nation,Club,Matchs_played,Minutes_played,Titular_played,Goals,Assists,Position,Value,Preferred Foot,Height,Weight
Jeffrey Schlupp,2023-2024,30.0,Ghana,Crystal Palace,29,1352,17,2,2,FW,,,,
Jeremy Doku,2023-2024,21.0,Belgium,Manchester City,29,1595,18,3,8,FW,,,,
Jesurun Rak Sakyi,2023-2024,20.0,England,Crystal Palace,6,136,0,0,0,MF,,,,
Joe Rothwell,2023-2024,28.0,England,Bournemouth,11,386,3,0,0,MF,,,,
Joe White,2023-2024,20.0,England,Newcastle Utd,4,13,0,0,0,MF,,,,
Joe Willock,2023-2024,23.0,England,Newcastle Utd,9,419,5,1,0,MF,,,,
Joelinton,2023-2024,26.0,Brazil,Newcastle Utd,20,1279,15,2,1,MF,,,,
John Fleck,2023-2024,31.0,Scotland,Sheffield Utd,4,92,1,0,0,MF,,,,
John McGinn,2023-2024,28.0,Scotland,Aston Villa,35,2999,35,6,4,MF,,,,
John Stones,2023-2024,29.0,England,Manchester City,16,1064,12,1,0,DF,,,,
Jordan Ayew,2023-2024,31.0,Ghana,Crystal Palace,35,2543,30,4,7,FW,,,,
Jordan Clark,2023-2024,29.0,England,Luton Town,23,1304,14,1,1,MF,,,,
Jorginho,2023-2024,31.0,Italy,Arsenal,24,921,10,0,2,MF,,,,
Josh Brownhill,2023-2024,27.0,England,Burnley,33,2252,23,4,2,MF,,,,
Josh Cullen,2023-2024,27.0,Ireland,Burnley,25,2057,23,2,3,MF,,,,
João Gomes,2023-2024,22.0,Brazil,Wolves,34,2649,32,2,1,MF,,,,
João Palhinha,2023-2024,28.0,Portugal,Fulham,33,2699,31,4,1,MF,,,,
João Pedro,2023-2024,21.0,Brazil,Brighton,31,2045,19,9,3,FW,,,,
Julio Enciso,2023-2024,19.0,Paraguay,Brighton,12,475,5,0,2,MF,,,,
Julián Álvarez,2023-2024,23.0,Argentina,Manchester City,36,2647,31,11,8,MF,,,,
Justin Kluivert,2023-2024,24.0,Netherlands,Bournemouth,32,1916,26,7,1,MF,,,,
Jáder Durán,2023-2024,19.0,Colombia,Aston Villa,23,475,3,5,0,FW,,,,
Jóhann Berg Guðmundsson,2023-2024,32.0,Iceland,Burnley,26,1192,12,1,3,MF,,,,
Kai Havertz,2023-2024,24.0,Germany,Arsenal,37,2634,30,13,7,MF,,,,
Kalvin Phillips,2023-2024,27.0,England,2 Teams,12,402,3,0,0,MF,,,,
Kevin De Bruyne,2023-2024,32.0,Belgium,Manchester City,18,1221,15,4,10,MF,,,,
Kevin Schade,2023-2024,21.0,Germany,Brentford,11,333,3,2,1,FW,,,,
Kieffer Moore,2023-2024,30.0,Wales,Bournemouth,8,108,0,1,0,FW,,,,
Kobbie Mainoo,2023-2024,18.0,England,Manchester Utd,24,1924,24,3,1,MF,,,,
Leander Dendoncker,2023-2024,28.0,Belgium,Aston Villa,8,119,1,1,0,MF,,,,
Leandro Trossard,2023-2024,28.0,Belgium,Arsenal,34,1649,18,12,1,FW,,,,
Leon Bailey,2023-2024,25.0,Jamaica,Aston Villa,35,2068,22,10,9,MF,,,,
Lesley Ugochukwu,2023-2024,19.0,France,Chelsea,12,301,3,0,0,MF,,,,
Lewis Cook,2023-2024,26.0,England,Bournemouth,33,2786,32,0,3,MF,,,,
Lewis Dobbin,2023-2024,20.0,England,Everton,12,232,1,1,0,MF,,,,
Lewis Miley,2023-2024,17.0,England,Newcastle Utd,17,1202,14,1,3,MF,,,,
Luca Koleosho,2023-2024,18.0,Italy,Burnley,15,974,13,1,1,MF,,,,
Lucas Paquetá,2023-2024,25.0,Brazil,West Ham,31,2622,31,4,6,FW,,,,
Luis Sinisterra,2023-2024,24.0,Colombia,Bournemouth,20,699,7,2,2,FW,,,,
Luke Berry,2023-2024,31.0,England,Luton Town,17,323,2,2,1,MF,,,,
Luke Harris,2023-2024,18.0,Wales,Fulham,1,75,0,0,0,MF,,,,
Lyle Foster,2023-2024,22.0,South Africa,Burnley,24,1899,22,5,3,FW,,,,
Mahmoud Dahoud,2023-2024,27.0,Germany,Brighton,9,452,6,0,1,MF,,,,
Manuel Akanji,2023-2024,28.0,Switzerland,Manchester City,30,2511,28,2,0,DF,,,,
Mario Lemina,2023-2024,29.0,Gabon,Wolves,35,2968,34,4,1,MF,,,,
Martin Ødegaard,2023-2024,24.0,Norway,Arsenal,35,3091,35,8,10,MF,,,,
Marvelous Nakamba,2023-2024,29.0,Zimbabwe,Luton Town,13,1130,13,0,0,MF,,,,
Mason Mount,2023-2024,24.0,England,Manchester Utd,14,516,5,1,0,MF,,,,
Mateo Kovačić,2023-2024,29.0,Croatia,Manchester City,30,1551,16,1,0,MF,,,,
Matheus Cunha,2023-2024,24.0,Brazil,Wolves,32,2440,29,12,7,FW,,,,
Matheus França,2023-2024,19.0,Brazil,Crystal Palace,10,232,1,0,1,MF,,,,
Matheus Nunes,2023-2024,24.0,Portugal,2 Teams,19,840,9,0,2,MF,,,,
Mathias Jensen,2023-2024,27.0,Denmark,Brentford,32,2204,27,3,3,MF,,,,
Matt Doherty,2023-2024,31.0,Ireland,Wolves,30,1150,9,1,0,DF,,,,
Matt Ritchie,2023-2024,33.0,Scotland,Newcastle Utd,13,128,0,1,0,FW,,,,
Max Lowe,2023-2024,26.0,England,Sheffield Utd,10,503,4,0,0,DF,,,,
Maxwel Cornet,2023-2024,26.0,Ivory Coast,West Ham,7,112,1,1,0,MF,,,,
Michael Obafemi,2023-2024,23.0,Ireland,Burnley,2,20,0,0,0,FW,,,,
Michael Olise,2023-2024,21.0,France,Crystal Palace,19,1275,14,10,6,FW,,,,
Mike Trésor,2023-2024,24.0,Belgium,Burnley,16,420,3,0,0,FW,,,,
Mikey Moore,2023-2024,15.0,England,Tottenham,2,4,0,0,0,MF,,,,
Mikkel Damsgaard,2023-2024,23.0,Denmark,Brentford,23,842,7,0,2,MF,,,,
Mohamed Elneny,2023-2024,31.0,Egypt,Arsenal,3,28,0,0,0,MF,,,,
Mohammed Kudus,2023-2024,22.0,Ghana,West Ham,33,2484,27,8,6,FW,,,,
Moisés Caicedo,2023-2024,21.0,Ecuador,Chelsea,35,2866,33,1,3,MF,,,,
Morgan Gibbs-White,2023-2024,23.0,England,Nott'ham Forest,37,3156,35,5,10,MF,,,,
Morgan Rogers,2023-2024,21.0,England,Aston Villa,11,638,8,3,1,MF,,,,
Moussa Diaby,2023-2024,24.0,France,Aston Villa,38,2174,25,6,8,FW,,,,
Myles Peart-Harris,2023-2024,20.0,England,Brentford,3,13,0,0,0,DF,,,,
Naouirou Ahamada,2023-2024,21.0,France,Crystal Palace,20,349,0,0,0,MF,,,,
Nathan Redmond,2023-2024,29.0,England,Burnley,12,142,0,0,0,FW,,,,
Nicolás Domínguez,2023-2024,25.0,Argentina,Nott'ham Forest,26,1495,19,2,2,MF,,,,
Nicolò Zaniolo,2023-2024,24.0,Italy,Aston Villa,25,839,9,2,0,FW,,,,
Nélson Semedo,2023-2024,29.0,Portugal,Wolves,36,3084,36,0,1,DF,,,,
Odsonne Édouard,2023-2024,25.0,France,Crystal Palace,30,1555,17,7,0,FW,,,,
Oliver Arblaster,2023-2024,19.0,England,Sheffield Utd,12,943,11,0,0,MF,,,,
Oliver Norwood,2023-2024,32.0,Northern Ireland,Sheffield Utd,27,1440,16,1,0,MF,,,,
Oliver Skipp,2023-2024,22.0,England,Tottenham,21,707,5,0,0,MF,,,,
Orel Mangala,2023-2024,25.0,Belgium,Nott'ham Forest,20,1563,19,1,0,MF,,,,
Oscar Bobb,2023-2024,20.0,Norway,Manchester City,14,302,2,1,1,FW,,,,
Pablo Fornals,2023-2024,27.0,Spain,West Ham,15,426,4,0,0,MF,,,,
Pablo Sarabia,2023-2024,31.0,Spain,Wolves,30,1745,20,4,7,MF,,,,
Pape Matar Sarr,2023-2024,20.0,Senegal,Tottenham,34,2069,27,3,3,MF,,,,
Pascal Groß,2023-2024,32.0,Germany,Brighton,36,3114,34,4,10,MF,,,,
Pedro Neto,2023-2024,23.0,Portugal,Wolves,20,1516,18,2,9,FW,,,,
Pelly Ruddock Mpanzu,2023-2024,30.0,DR Congo,Luton Town,27,1101,11,0,0,MF,,,,
Phil Foden,2023-2024,23.0,England,Manchester City,35,2857,33,19,8,FW,,,,
Philip Billing,2023-2024,27.0,Denmark,Bournemouth,29,1398,13,2,2,MF,,,,
Philippe Coutinho,2023-2024,31.0,Brazil,Aston Villa,2,25,0,0,0,MF,,,,
Pierre Højbjerg,2023-2024,27.0,Denmark,Tottenham,36,1311,8,0,0,MF,,,,
Raheem Sterling,2023-2024,28.0,England,Chelsea,31,1978,22,8,4,FW,,,,
Rayan Aït-Nouri,2023-2024,22.0,Algeria,Wolves,33,2329,29,2,1,DF,,,,
Rhian Brewster,2023-2024,23.0,England,Sheffield Utd,13,346,3,0,0,FW,,,,
Rico Lewis,2023-2024,18.0,England,Manchester City,16,809,8,2,0,DF,,,,
Rodri,2023-2024,27.0,Spain,Manchester City,34,2931,34,8,9,MF,,,,
Rodrigo Bentancur,2023-2024,26.0,Uruguay,Tottenham,23,1005,13,1,1,MF,,,,
Rodrigo Ribeiro,2023-2024,18.0,Portugal,Nott'ham Forest,4,17,0,0,0,MF,,,,
Romain Faivre,2023-2024,25.0,France,Bournemouth,5,41,0,0,0,MF,,,,
Roméo Lavia,2023-2024,19.0,Belgium,Chelsea,1,33,0,0,0,MF,,,,
Ross Barkley,2023-2024,29.0,England,Luton Town,32,2618,30,5,4,MF,,,,
Ryan Christie,2023-2024,28.0,Scotland,Bournemouth,37,2907,35,0,5,MF,,,,
Ryan Giles,2023-2024,23.0,England,Luton Town,11,503,5,0,0,DF,,,,
Ryan Gravenberch,2023-2024,21.0,Netherlands,Liverpool,26,1121,12,1,0,MF,,,,
Ryan Yates,2023-2024,25.0,England,Nott'ham Forest,35,1992,21,1,1,MF,,,,
Sander Berge,2023-2024,25.0,Norway,Burnley,37,3005,34,1,2,MF,,,,
Sandro Tonali,2023-2024,23.0,Italy,Newcastle Utd,8,438,5,1,0,MF,,,,
Saïd Benrahma,2023-2024,27.0,Algeria,West Ham,13,620,5,0,1,FW,,,,
Saša Lukić,2023-2024,26.0,Serbia,Fulham,24,1122,13,1,0,MF,,,,
Scott McTominay,2023-2024,26.0,Scotland,Manchester Utd,32,1901,18,7,1,MF,,,,
Sean Longstaff,2023-2024,25.0,England,Newcastle Utd,35,2747,30,6,2,MF,,,,
Serge Aurier,2023-2024,30.0,Ivory Coast,Nott'ham Forest,12,833,10,0,2,DF,,,,
Sergio Gómez,2023-2024,22.0,Spain,Manchester City,6,53,0,0,1,FW,,,,
Shandon Baptiste,2023-2024,25.0,GRN,Brentford,10,229,2,1,1,MF,,,,
Sofyan Amrabat,2023-2024,26.0,Morocco,Manchester Utd,21,938,10,0,0,MF,,,,
Stefan Bajcetic,2023-2024,18.0,Spain,Liverpool,1,26,0,0,0,MF,,,,
Tahith Chong,2023-2024,23.0,CUW,Luton Town,33,1982,20,4,0,MF,,,,
Tawanda Chirewa,2023-2024,19.0,Zimbabwe,Wolves,8,145,1,0,0,MF,,,,
Thiago Alcántara,2023-2024,32.0,Spain,Liverpool,1,6,0,0,0,MF,,,,
Thilo Kehrer,2023-2024,26.0,Germany,West Ham,4,22,0,0,0,DF,,,,
Thomas Partey,2023-2024,30.0,Ghana,Arsenal,14,788,9,0,0,MF,,,,
Tim Iroegbunam,2023-2024,20.0,England,Aston Villa,9,164,1,0,0,MF,,,,
Tom Cairney,2023-2024,32.0,Scotland,Fulham,34,1488,14,1,4,MF,,,,
Tom Davies,2023-2024,25.0,England,Sheffield Utd,9,221,2,0,0,MF,,,,
Tommy Doyle,2023-2024,21.0,England,Wolves,26,1222,11,0,0,MF,,,,
Tomáš Souček,2023-2024,28.0,Czech Republic,West Ham,37,2870,34,7,2,MF,,,,
Tyler Adams,2023-2024,24.0,United States,Bournemouth,3,121,1,0,0,MF,,,,
Tyrick Mitchell,2023-2024,23.0,England,Crystal Palace,37,3204,37,2,3,DF,,,,
Vinicius Souza,2023-2024,24.0,Brazil,Sheffield Utd,36,2668,29,1,0,MF,,,,
Vitaly Janelt,2023-2024,25.0,Germany,Brentford,38,3054,37,1,3,MF,,,,
Vitinho,2023-2024,24.0,Brazil,Burnley,32,2314,26,0,2,DF,,,,
Wataru Endo,2023-2024,30.0,Japan,Liverpool,29,1722,20,1,0,MF,,,,
Will Hughes,2023-2024,28.0,England,Crystal Palace,30,1891,23,0,1,MF,,,,
Wilson Odobert,2023-2024,18.0,France,Burnley,29,2098,25,3,2,MF,,,,
Yehor Yarmoliuk,2023-2024,19.0,Ukraine,Brentford,27,688,6,0,0,MF,,,,
Youri Tielemans,2023-2024,26.0,Belgium,Aston Villa,32,1622,17,2,6,MF,,,,
Yves Bissouma,2023-2024,26.0,Mali,Tottenham,28,2068,26,0,0,MF,,,,
Zack Nelson,2023-2024,18.0,England,Luton Town,2,7,0,0,0,MF,,,,
Aaron Hickey,2023-2024,21.0,Scotland,Brentford,9,713,9,0,0,DF,,,,
Aaron Wan-Bissaka,2023-2024,25.0,DR Congo,Manchester Utd,22,1780,20,0,2,DF,,,,
Adam Smith,2023-2024,32.0,England,Bournemouth,28,2150,25,0,2,DF,,,,
Adam Webster,2023-2024,28.0,England,Brighton,15,1144,13,0,0,DF,,,,
Alfie Doughty,2023-2024,23.0,England,Luton Town,37,2925,34,2,8,DF,,,,
Amari'i Bell,2023-2024,29.0,Jamaica,Luton Town,21,1720,21,0,0,DF,,,,
Ameen Al-Dakhil,2023-2024,21.0,Belgium,Burnley,13,1056,12,1,0,DF,,,,
Andre Brooks,2023-2024,19.0,England,Sheffield Utd,20,938,12,0,0,MF,,,,
Andrew Omobamidele,2023-2024,21.0,Ireland,Nott'ham Forest,11,783,8,0,0,DF,,,,
Andrew Robertson,2023-2024,29.0,Scotland,Liverpool,23,1693,18,3,2,DF,,,,
Anel Ahmedhodžić,2023-2024,24.0,Bosnia and Herzegovina,Sheffield Utd,31,2649,29,2,0,DF,,,,
Angelo Ogbonna,2023-2024,35.0,Italy,West Ham,11,635,7,0,0,DF,,,,
Antonee Robinson,2023-2024,25.0,United States,Fulham,37,3265,37,0,6,DF,,,,
Ashley Young,2023-2024,38.0,England,Everton,31,2280,27,0,0,DF,,,,
Auston Trusty,2023-2024,24.0,United States,Sheffield Utd,32,2572,28,0,0,DF,,,,
Axel Disasi,2023-2024,25.0,France,Chelsea,31,2579,29,2,0,DF,,,,
Ben Chilwell,2023-2024,26.0,England,Chelsea,13,756,9,0,1,DF,,,,
Ben Davies,2023-2024,30.0,Wales,Tottenham,17,1090,12,1,0,DF,,,,
Ben Godfrey,2023-2024,25.0,England,Everton,15,1120,13,0,0,DF,,,,
Ben Johnson,2023-2024,23.0,England,West Ham,14,544,4,0,0,DF,,,,
Ben Mee,2023-2024,33.0,England,Brentford,16,1272,15,2,0,DF,,,,
Ben Osborn,2023-2024,28.0,England,Sheffield Utd,24,1367,14,0,2,DF,,,,
Ben White,2023-2024,25.0,England,Arsenal,37,2988,35,4,4,DF,,,,
Benoît Badiashile,2023-2024,22.0,France,Chelsea,18,1338,15,0,1,DF,,,,
Calvin Bassey,2023-2024,23.0,Nigeria,Fulham,29,2303,25,1,0,DF,,,,
Casemiro,2023-2024,31.0,Brazil,Manchester Utd,25,1982,24,1,2,MF,,,,
Charlie Taylor,2023-2024,29.0,England,Burnley,28,2331,25,1,1,DF,,,,
Chiedozie Ogbene,2023-2024,26.0,Ireland,Luton Town,30,1995,20,4,1,MF,,,,
Chris Basham,2023-2024,35.0,England,Sheffield Utd,8,321,3,0,0,DF,,,,
Chris Mepham,2023-2024,25.0,Wales,Bournemouth,10,617,6,0,1,DF,,,,
Chris Richards,2023-2024,23.0,United States,Crystal Palace,26,2094,23,1,1,DF,,,,
Clément Lenglet,2023-2024,28.0,France,Aston Villa,14,1153,14,0,1,DF,,,,
Connor Roberts,2023-2024,27.0,Wales,Burnley,14,823,8,0,1,DF,,,,
Conor Bradley,2023-2024,20.0,Northern Ireland,Liverpool,11,753,10,1,3,DF,,,,
Craig Dawson,2023-2024,33.0,England,Wolves,25,2209,25,1,1,DF,,,,
Cristian Romero,2023-2024,25.0,Argentina,Tottenham,33,2790,33,5,0,DF,,,,
Daiki Hashioka,2023-2024,24.0,Japan,Luton Town,10,595,6,0,0,DF,,,,
Dan Burn,2023-2024,31.0,England,Newcastle Utd,33,2726,32,2,2,DF,,,,
Dango Ouattara,2023-2024,21.0,Burkina Faso,Bournemouth,30,1229,12,1,2,FW,,,,
Daniel Muñoz,2023-2024,27.0,Colombia,Crystal Palace,16,1439,16,0,4,DF,,,,
Dara O'Shea,2023-2024,24.0,Ireland,Burnley,33,2892,32,3,4,DF,,,,
David Ozoh,2023-2024,18.0,England,Crystal Palace,9,156,0,0,0,MF,,,,
Destiny Udogie,2023-2024,20.0,Italy,Tottenham,28,2391,28,2,3,DF,,,,
Diego Carlos,2023-2024,30.0,Brazil,Aston Villa,27,1816,20,0,0,DF,,,,
Diogo Dalot,2023-2024,24.0,Portugal,Manchester Utd,36,3174,35,2,3,DF,,,,
Emerson,2023-2024,24.0,Brazil,Tottenham,22,1161,11,1,0,DF,,,,
Emerson Palmieri,2023-2024,28.0,Italy,West Ham,36,3137,35,1,2,DF,,,,
Emil Krafth,2023-2024,28.0,Sweden,Newcastle Utd,17,913,8,0,0,DF,,,,
Ethan Pinnock,2023-2024,30.0,Jamaica,Brentford,29,2521,28,2,0,DF,,,,
Ezri Konsa,2023-2024,25.0,England,Aston Villa,35,3069,35,1,0,DF,,,,
Fabian Schär,2023-2024,31.0,Switzerland,Newcastle Utd,36,3054,35,4,1,DF,,,,
Felipe,2023-2024,34.0,Brazil,Nott'ham Forest,7,375,4,0,0,DF,,,,
Fred Onyedinma,2023-2024,26.0,England,Luton Town,8,407,4,0,0,DF,,,,
Gabriel Magalhães,2023-2024,25.0,Brazil,Arsenal,36,3044,34,4,0,DF,,,,
Gabriel Osho,2023-2024,24.0,Nigeria,Luton Town,21,1846,21,2,0,DF,,,,
George Baldock,2023-2024,30.0,Greece,Sheffield Utd,13,969,11,0,1,DF,,,,
Gonzalo Montiel,2023-2024,26.0,Argentina,Nott'ham Forest,14,801,8,0,2,DF,,,,
Hannes Delcroix,2023-2024,24.0,Haiti,Burnley,12,589,5,0,0,DF,,,,
Harry Maguire,2023-2024,30.0,England,Manchester Utd,22,1653,18,2,2,DF,,,,
Harry Toffolo,2023-2024,27.0,England,Nott'ham Forest,23,1459,15,1,3,DF,,,,
Hugo Bueno,2023-2024,20.0,Spain,Wolves,22,741,7,0,0,DF,,,,
Ibrahima Konaté,2023-2024,24.0,France,Liverpool,22,1574,17,0,0,DF,,,,
Igor,2023-2024,25.0,Brazil,Brighton,24,1637,17,0,0,DF,,,,
Illia Zabarnyi,2023-2024,20.0,Ukraine,Bournemouth,37,3330,37,1,0,DF,,,,
Issa Diop,2023-2024,26.0,France,Fulham,18,1424,16,0,0,DF,,,,
Issa Kaboré,2023-2024,22.0,Burkina Faso,Luton Town,24,1729,21,0,2,DF,,,,
Jack Hinshelwood,2023-2024,18.0,England,Brighton,12,869,8,3,0,DF,,,,
Jack Robinson,2023-2024,29.0,England,Sheffield Utd,34,2885,31,1,1,DF,,,,
Jacob Murphy,2023-2024,28.0,England,Newcastle Utd,21,1189,14,3,7,FW,,,,
Jakub Kiwior,2023-2024,23.0,Poland,Arsenal,20,946,11,1,3,DF,,,,
Jakub Moder,2023-2024,24.0,Poland,Brighton,17,618,6,0,0,MF,,,,
Jamaal Lascelles,2023-2024,29.0,England,Newcastle Utd,16,1080,13,1,0,DF,,,,
James Milner,2023-2024,37.0,England,Brighton,15,773,11,0,2,DF,,,,
James Tarkowski,2023-2024,30.0,England,Everton,38,3419,38,1,1,DF,,,,
Jan Paul van Hecke,2023-2024,23.0,Netherlands,Brighton,28,2369,26,0,0,DF,,,,
Jarell Quansah,2023-2024,20.0,England,Liverpool,17,1190,13,2,0,DF,,,,
Jarrad Branthwaite,2023-2024,21.0,England,Everton,35,3116,35,3,0,DF,,,,
Jayden Bogle,2023-2024,23.0,England,Sheffield Utd,34,2788,32,3,0,DF,,,,
