Player,Season,Age,Nation,Club,Matchs_played,Minutes_played,Titular_played,Goals,Assists,Position
Nicolò Zaniolo,2023-2024,24,Italy,Aston Villa,25,839,9,2,0,FW
Nikola Vlašić,2021-2022,23,Croatia,West Ham,19,560,6,1,0,FW
Noni Madueke,2022-2023,20,England,Chelsea,12,643,7,1,0,FW
Noni Madueke,2023-2024,21,England,Chelsea,23,1053,13,5,2,FW
Odion Ighalo,2019-2020,30,Nigeria,Manchester Utd,11,101,0,0,0,FW
Odsonne Édouard,2021-2022,23,France,Crystal Palace,28,1564,18,6,3,FW
Odsonne Édouard,2022-2023,24,France,Crystal Palace,35,1803,20,5,2,FW
Odsonne Édouard,2023-2024,25,France,Crystal Palace,30,1555,17,7,0,FW
Oliver Burke,2020-2021,23,Scotland,Sheffield Utd,25,1269,14,1,1,FW
Oliver McBurnie,2019-2020,23,Scotland,Sheffield Utd,36,2113,24,6,0,FW
Oliver McBurnie,2020-2021,24,Scotland,Sheffield Utd,23,1324,12,1,0,FW
Oliver McBurnie,2023-2024,27,Scotland,Sheffield Utd,21,1280,15,6,3,FW
Olivier Giroud,2018-2019,31,France,Chelsea,27,847,7,2,4,FW
Olivier Giroud,2019-2020,32,France,Chelsea,18,993,12,8,0,FW
Olivier Giroud,2020-2021,33,France,Chelsea,17,748,8,4,0,FW
Ollie Watkins,2020-2021,24,England,Aston Villa,37,3328,37,14,5,FW
Ollie Watkins,2021-2022,25,England,Aston Villa,35,2952,33,11,2,FW
Ollie Watkins,2022-2023,26,England,Aston Villa,37,3127,36,15,6,FW
Ollie Watkins,2023-2024,27,England,Aston Villa,37,3217,37,19,13,FW
Omari Forson,2023-2024,19,England,Manchester Utd,4,70,1,0,1,FW
Omari Kellyman,2023-2024,17,England,Aston Villa,2,37,0,0,0,FW
Onel Hernández,2019-2020,26,Cuba,Norwich City,26,1384,14,1,2,FW
Oscar Bobb,2023-2024,20,Norway,Manchester City,14,302,2,1,1,FW
Oumar Niasse,2018-2019,28,Senegal,2 Teams,18,994,12,0,0,FW
Owen Otasowie,2020-2021,19,United States,Wolves,6,187,2,0,1,MF
Pablo Fornals,2019-2020,23,Spain,West Ham,36,2172,24,2,5,MF
Pablo Fornals,2020-2021,24,Spain,West Ham,33,2572,31,5,4,FW
Pablo Fornals,2021-2022,25,Spain,West Ham,36,2795,32,6,3,FW
Pablo Fornals,2022-2023,26,Spain,West Ham,32,1503,17,3,1,FW
Pablo Fornals,2023-2024,27,Spain,West Ham,15,426,4,0,0,MF
Pablo Sarabia,2022-2023,30,Spain,Wolves,13,765,9,1,0,FW
Pablo Sarabia,2023-2024,31,Spain,Wolves,30,1745,20,4,7,MF
Pape Matar Sarr,2022-2023,19,Senegal,Tottenham,11,218,2,0,1,MF
Pascal Groß,2018-2019,27,Germany,Brighton,25,1864,24,3,3,MF
Pascal Groß,2019-2020,28,Germany,Brighton,29,1796,22,2,4,MF
Patrick Bamford,2020-2021,26,England,Leeds United,38,3050,37,17,7,FW
Patrick Bamford,2021-2022,27,England,Leeds United,9,559,7,2,2,FW
Patrick Bamford,2022-2023,28,England,Leeds United,28,1515,18,4,2,FW
Patrick Cutrone,2019-2020,21,Italy,Wolves,12,297,3,2,0,FW
Patrick Cutrone,2020-2021,22,Italy,Wolves,2,25,0,0,0,FW
Patson Daka,2021-2022,22,Zambia,Leicester City,23,1159,13,5,3,FW
Patson Daka,2022-2023,23,Zambia,Leicester City,30,1187,13,4,4,FW
Paul Onuachu,2022-2023,28,Nigeria,Southampton,11,407,4,0,0,FW
Paul Pogba,2020-2021,27,France,Manchester Utd,26,1897,21,3,3,MF
Paul Pogba,2021-2022,28,France,Manchester Utd,20,1349,16,1,9,MF
Pedro,2018-2019,31,Spain,Chelsea,31,1778,21,8,2,FW
Pedro,2019-2020,32,Spain,Chelsea,11,661,8,1,1,FW
Pedro Neto,2019-2020,19,Portugal,Wolves,29,939,9,3,3,FW
Pedro Neto,2020-2021,20,Portugal,Wolves,31,2550,30,5,6,FW
Pedro Neto,2021-2022,21,Portugal,Wolves,13,466,5,1,1,FW
Pedro Neto,2022-2023,22,Portugal,Wolves,18,964,13,0,0,FW
Pedro Neto,2023-2024,23,Portugal,Wolves,20,1516,18,2,9,FW
Peter Crouch,2018-2019,37,England,Burnley,6,92,0,0,0,FW
Phil Foden,2019-2020,19,England,Manchester City,23,901,9,5,2,FW
Phil Foden,2020-2021,20,England,Manchester City,28,1616,17,9,5,FW
Phil Foden,2021-2022,21,England,Manchester City,28,2128,24,9,5,FW
Phil Foden,2022-2023,22,England,Manchester City,32,1842,22,11,6,FW
Phil Foden,2023-2024,23,England,Manchester City,35,2857,33,19,8,FW
Philip Billing,2022-2023,26,Denmark,Bournemouth,36,2764,34,7,1,MF
Philippe Coutinho,2021-2022,29,Brazil,Aston Villa,19,1329,16,5,3,MF
Philippe Coutinho,2022-2023,30,Brazil,Aston Villa,20,788,7,1,0,MF
Philippe Coutinho,2023-2024,31,Brazil,Aston Villa,2,25,0,0,0,MF
Pierre-Emerick Aubameyang,2018-2019,29,Gabon,Arsenal,36,2726,30,22,5,FW
Pierre-Emerick Aubameyang,2019-2020,30,Gabon,Arsenal,36,3136,35,22,3,FW
Pierre-Emerick Aubameyang,2020-2021,31,Gabon,Arsenal,29,2332,26,10,3,FW
Pierre-Emerick Aubameyang,2021-2022,32,Gabon,Arsenal,14,1037,12,4,1,FW
Pierre-Emerick Aubameyang,2022-2023,33,Gabon,Chelsea,15,554,5,1,0,FW
Player,Season,Age,ion,Team,MP,Min,Starts,Gls,Ast,Po
Player,Season,Age,ion,Team,MP,Min,Starts,Gls,Ast,Po
Player,Season,Age,ion,Team,MP,Min,Starts,Gls,Ast,Po
Player,Season,Age,ion,Team,MP,Min,Starts,Gls,Ast,Po
Player,Season,Age,ion,Team,MP,Min,Starts,Gls,Ast,Po
Przemysław Płacheta,2021-2022,23,Poland,Norwich City,12,504,6,0,0,FW
Rachid Ghezzal,2018-2019,26,Algeria,Leicester City,19,743,8,1,0,FW
Raheem Sterling,2018-2019,23,England,Manchester City,34,2771,31,17,9,FW
Raheem Sterling,2019-2020,24,England,Manchester City,33,2651,30,20,1,FW
Raheem Sterling,2020-2021,25,England,Manchester City,31,2536,28,10,7,FW
Raheem Sterling,2021-2022,26,England,Manchester City,30,2128,23,13,5,FW
Raheem Sterling,2022-2023,27,England,Chelsea,28,1891,23,6,3,FW
Raheem Sterling,2023-2024,28,England,Chelsea,31,1978,22,8,4,FW
Rajiv van La Parra,2018-2019,27,Netherlands,Huddersfield,5,405,5,0,0,FW
Raphinha,2020-2021,23,Brazil,Leeds United,30,2360,26,6,9,MF
Raphinha,2021-2022,24,Brazil,Leeds United,35,2915,34,11,3,FW
Rasmus Højlund,2023-2024,20,Denmark,Manchester Utd,30,2158,25,10,2,FW
Raúl Jiménez,2018-2019,27,Mexico,Wolves,38,3111,36,13,7,FW
Raúl Jiménez,2019-2020,28,Mexico,Wolves,38,3236,37,17,6,FW
Raúl Jiménez,2020-2021,29,Mexico,Wolves,10,823,10,4,0,FW
Raúl Jiménez,2021-2022,30,Mexico,Wolves,34,2631,30,6,4,FW
Raúl Jiménez,2022-2023,31,Mexico,Wolves,15,846,8,0,1,FW
Raúl Jiménez,2023-2024,32,Mexico,Fulham,24,1395,18,7,0,FW
Reiss Nelson,2019-2020,19,England,Arsenal,17,631,7,1,0,FW
Reiss Nelson,2022-2023,22,England,Arsenal,11,212,0,3,2,FW
Reiss Nelson,2023-2024,23,England,Arsenal,15,268,1,0,0,FW
Rhian Brewster,2020-2021,20,England,Sheffield Utd,27,1128,12,0,0,FW
Rhian Brewster,2023-2024,23,England,Sheffield Utd,13,346,3,0,0,FW
Rhys Healey,2018-2019,23,Wales,Cardiff City,3,52,0,0,0,FW
Ricardo Pereira,2018-2019,24,Portugal,Leicester City,35,3123,35,2,6,DF
Ricardo Pereira,2020-2021,26,Portugal,Leicester City,15,959,10,0,1,DF
Richarlison,2018-2019,21,Brazil,Everton,35,2665,32,13,1,FW
Richarlison,2019-2020,22,Brazil,Everton,36,3070,36,13,3,FW
Richarlison,2020-2021,23,Brazil,Everton,34,2861,33,7,3,FW
Richarlison,2021-2022,24,Brazil,Everton,30,2523,28,10,5,FW
Richarlison,2022-2023,25,Brazil,Tottenham,27,1010,12,1,3,MF
Richarlison,2023-2024,26,Brazil,Tottenham,28,1491,18,11,4,FW
Riyad Mahrez,2018-2019,27,Algeria,Manchester City,27,1343,14,7,4,FW
Riyad Mahrez,2019-2020,28,Algeria,Manchester City,33,1944,21,11,9,FW
