,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,-additional
18,Martin Dúbravka,58,2019-2020,30,sk SVK,Newcastle Utd,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,58,195,139,71.3,11,11,16,11,28.9,GK,3a949a25
19,Jordan Pickford,58,2021-2022,27,eng ENG,Everton,eng Premier League,35,3150,35.0,35,0,0,0,0,0,0,0,0,0,58,170,116,66.5,10,6,19,7,20.0,GK,4806ec67
20,Kasper Schmeichel,58,2021-2022,34,dk DEN,Leicester City,eng Premier League,37,3330,37.0,37,0,1,0,0,0,0,0,0,0,58,187,128,72.7,13,10,14,7,18.9,GK,53af52f3
21,José Sá,58,2023-2024,30,pt POR,Wolves,eng Premier League,35,3037,33.7,35,0,0,0,1,1,0,0,0,0,58,188,131,73.4,12,7,16,4,11.4,GK,903b6e8b
22,André Onana,58,2023-2024,27,cm CMR,Manchester Utd,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,58,203,146,74.9,18,6,14,9,23.7,GK,e9c0c1b2
23,Alex McCarthy,57,2020-2021,30,eng ENG,Southampton,eng Premier League,30,2700,30.0,30,0,7,0,0,0,0,0,0,0,57,147,91,65.3,8,7,15,7,23.3,GK,36c2ca73
24,Jordan Pickford,57,2022-2023,28,eng ENG,Everton,eng Premier League,37,3330,37.0,37,0,0,0,1,1,0,0,0,0,57,181,123,71.3,7,12,18,8,21.6,GK,4806ec67
25,David de Gea,57,2021-2022,30,es ESP,Manchester Utd,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,57,180,124,70.0,16,10,12,8,21.1,GK,7ba6d84e
26,Jordan Pickford,56,2019-2020,25,eng ENG,Everton,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,56,147,94,63.9,13,10,15,9,23.7,GK,4806ec67
27,Sergio Rico,56,2018-2019,24,es ESP,Fulham,eng Premier League,29,2610,29.0,29,0,6,0,0,0,0,0,0,0,56,165,111,68.5,6,3,20,5,17.2,GK,5f0241b2
28,Gavin Bazunu,56,2022-2023,20,ie IRL,Southampton,eng Premier League,32,2880,32.0,32,0,6,0,0,0,0,0,0,0,56,120,67,54.2,6,6,20,4,12.5,GK,c91441dc
29,Mathew Ryan,55,2018-2019,26,au AUS,Brighton,eng Premier League,34,3060,34.0,34,0,0,0,0,0,0,0,0,0,55,152,96,69.1,8,8,18,6,17.6,GK,4535e4bb
30,José Sá,55,2022-2023,29,pt POR,Wolves,eng Premier League,36,3240,36.0,36,0,2,0,0,0,0,0,0,0,55,161,105,67.1,11,7,18,11,30.6,GK,903b6e8b
31,Łukasz Fabiański,55,2018-2019,33,pl POL,West Ham,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,55,198,143,74.2,15,7,16,7,18.4,GK,9328b835
32,Neto,55,2023-2024,34,br BRA,Bournemouth,eng Premier League,32,2880,32.0,32,0,4,0,0,0,0,0,0,0,55,165,110,69.7,10,9,13,7,21.9,GK,a9dc785c
33,Mathew Ryan,54,2019-2020,27,au AUS,Brighton,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,54,168,116,69.0,9,14,15,9,23.7,GK,4535e4bb
34,David de Gea,54,2018-2019,27,es ESP,Manchester Utd,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,54,171,120,71.9,19,9,10,7,18.4,GK,7ba6d84e
35,Jonas Lössl,54,2018-2019,29,dk DEN,Huddersfield,eng Premier League,31,2778,30.9,30,1,3,0,1,1,0,0,0,0,54,141,86,64.5,3,5,22,5,16.7,GK,939bc634
36,Alphonse Areola,53,2023-2024,30,fr FRA,West Ham,eng Premier League,31,2699,30.0,31,0,2,0,0,0,0,0,0,0,53,188,136,74.5,11,9,11,4,12.9,GK,2f965a72
37,Illan Meslier,52,2020-2021,20,fr FRA,Leeds United,eng Premier League,35,3150,35.0,35,0,2,0,0,0,0,0,0,0,52,188,137,76.6,16,5,14,11,31.4,GK,6b625ac2
38,Bernd Leno,51,2022-2023,30,de GER,Fulham,eng Premier League,36,3240,36.0,36,0,2,0,0,0,0,0,0,0,51,192,142,77.1,15,5,16,8,22.2,GK,2628fd2b
39,Jordan Pickford,51,2023-2024,29,eng ENG,Everton,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,51,165,117,73.9,13,9,16,13,34.2,GK,4806ec67
40,Rui Patrício,51,2020-2021,32,pt POR,Wolves,eng Premier League,37,3329,37.0,37,0,1,0,0,0,0,0,0,0,51,148,99,70.3,12,9,16,10,27.0,GK,79b0d6a0
41,Nick Pope,50,2019-2020,27,eng ENG,Burnley,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,50,167,117,72.5,15,9,14,15,39.5,GK,4b40d9ca
42,Kasper Schmeichel,50,2020-2021,33,dk DEN,Leicester City,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,50,136,88,66.2,20,6,12,11,28.9,GK,53af52f3
43,Łukasz Fabiański,50,2021-2022,36,pl POL,West Ham,eng Premier League,37,3330,37.0,37,0,0,0,0,0,0,0,0,0,50,162,111,70.4,16,8,13,8,21.6,GK,9328b835
44,Ben Foster,49,2021-2022,38,eng ENG,Watford,eng Premier League,26,2340,26.0,26,0,2,0,1,1,0,0,0,0,49,116,67,60.3,5,5,16,4,15.4,GK,d0b3ceb9
45,Alphonse Areola,48,2020-2021,27,fr FRA,Fulham,eng Premier League,36,3240,36.0,36,0,2,0,0,0,0,0,0,0,48,161,114,73.9,5,13,18,9,25.0,GK,2f965a72
46,Martin Dúbravka,48,2018-2019,29,sk SVK,Newcastle Utd,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,48,140,93,70.0,12,9,17,11,28.9,GK,3a949a25
47,Kasper Schmeichel,48,2018-2019,31,dk DEN,Leicester City,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,48,138,90,68.8,15,7,16,10,26.3,GK,53af52f3
48,Emiliano Martínez,48,2023-2024,30,ar ARG,Aston Villa,eng Premier League,34,3015,33.5,34,0,0,0,0,0,0,0,0,0,48,139,95,66.2,19,8,7,8,23.5,GK,7956236f
49,Emiliano Martínez,48,2021-2022,28,ar ARG,Aston Villa,eng Premier League,36,3240,36.0,36,0,0,0,0,0,0,0,0,0,48,140,93,68.6,13,6,17,11,30.6,GK,7956236f
50,Łukasz Fabiański,48,2022-2023,37,pl POL,West Ham,eng Premier League,36,3111,34.6,36,0,0,0,0,0,0,0,0,0,48,154,106,70.1,11,6,19,8,22.2,GK,9328b835
51,Kepa Arrizabalaga,47,2019-2020,24,es ESP,Chelsea,eng Premier League,33,2970,33.0,33,0,5,0,0,0,0,0,0,0,47,99,54,54.5,18,4,11,8,24.2,GK,28d596a0
52,Nick Pope,47,2021-2022,29,eng ENG,Burnley,eng Premier League,36,3240,36.0,36,0,0,0,0,0,0,0,0,0,47,165,119,74.5,7,14,15,9,25.0,GK,4b40d9ca
53,Asmir Begović,47,2018-2019,31,ba BIH,Bournemouth,eng Premier League,24,2160,24.0,24,0,12,0,0,0,0,0,0,0,47,104,59,56.7,8,3,13,5,20.8,GK,7b4de647
54,Jordan Pickford,46,2018-2019,24,eng ENG,Everton,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,46,136,89,67.6,15,9,14,14,36.8,GK,4806ec67
55,Emiliano Martínez,46,2020-2021,27,ar ARG,Aston Villa,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,46,186,133,78.0,16,7,15,15,39.5,GK,7956236f
56,Rui Patrício,46,2018-2019,30,pt POR,Wolves,eng Premier League,37,3329,37.0,37,0,0,0,0,0,0,0,0,0,46,138,96,68.8,15,9,13,7,18.9,GK,79b0d6a0
57,David Raya,46,2022-2023,26,es ESP,Brentford,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,46,197,154,77.7,15,14,9,12,31.6,GK,98ea5115
58,Danny Ward,46,2022-2023,29,wls WAL,Leicester City,eng Premier League,26,2340,26.0,26,0,9,0,0,0,0,0,0,0,46,119,75,63.0,7,3,16,6,23.1,GK,d3ce0e89
59,Hugo Lloris,45,2020-2021,33,fr FRA,Tottenham,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,45,155,113,77.4,18,8,12,12,31.6,GK,8f62b6ee
60,Alex McCarthy,44,2018-2019,28,eng ENG,Southampton,eng Premier League,25,2250,25.0,25,0,8,0,0,0,0,0,0,0,44,119,78,64.7,5,8,12,4,16.0,GK,36c2ca73
61,Łukasz Fabiański,44,2020-2021,35,pl POL,West Ham,eng Premier League,35,3150,35.0,35,0,0,0,0,0,0,0,0,0,44,138,97,70.3,17,8,10,10,28.6,GK,9328b835
62,Aaron Ramsdale,43,2022-2023,24,eng ENG,Arsenal,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,43,136,94,70.6,26,6,6,14,36.8,GK,466fb2c5
63,Alisson,43,2022-2023,29,br BRA,Liverpool,eng Premier League,37,3330,37.0,37,0,0,0,1,1,0,0,0,0,43,147,105,72.1,19,9,9,14,37.8,GK,7a2e46a8
64,David de Gea,43,2022-2023,31,es ESP,Manchester Utd,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,43,142,99,71.1,23,6,9,17,44.7,GK,7ba6d84e
65,Karl Darlow,43,2020-2021,29,wls WAL,Newcastle Utd,eng Premier League,25,2250,25.0,25,0,6,0,0,0,0,0,0,0,43,126,84,68.3,7,4,14,4,16.0,GK,cde3309f
66,Bernd Leno,42,2018-2019,26,de GER,Arsenal,eng Premier League,32,2836,31.5,31,1,6,0,0,0,0,0,0,0,42,145,104,75.9,16,7,8,7,22.6,GK,2628fd2b
67,Martin Dúbravka,42,2023-2024,34,sk SVK,Newcastle Utd,eng Premier League,23,1985,22.1,22,1,14,0,0,0,0,0,0,0,42,130,87,70.8,9,4,9,5,22.7,GK,3a949a25
68,Robert Sánchez,42,2021-2022,23,es ESP,Brighton,eng Premier League,37,3329,37.0,37,0,0,0,0,0,0,0,0,0,42,141,99,72.3,12,15,10,11,29.7,GK,6a713852
69,Vicente Guaita,42,2019-2020,32,es ESP,Crystal Palace,eng Premier League,35,3150,35.0,35,0,0,0,0,0,0,0,0,0,42,149,109,71.8,11,9,15,10,28.6,GK,ab13a5aa
70,Kasper Schmeichel,41,2019-2020,32,dk DEN,Leicester City,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,41,135,94,75.6,18,8,12,13,34.2,GK,53af52f3
71,Joe Hart,41,2018-2019,31,eng ENG,Burnley,eng Premier League,19,1710,19.0,19,0,19,0,0,0,0,0,0,0,41,116,75,65.5,3,3,13,4,21.1,GK,cb4f24c6
72,Rui Patrício,40,2019-2020,31,pt POR,Wolves,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,40,129,88,69.8,15,14,9,13,34.2,GK,79b0d6a0
73,Hugo Lloris,40,2021-2022,34,fr FRA,Tottenham,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,40,137,98,72.3,22,5,11,16,42.1,GK,8f62b6ee
74,José Sá,40,2021-2022,28,pt POR,Wolves,eng Premier League,37,3285,36.5,37,0,1,0,1,1,0,0,0,0,40,160,121,80.6,15,5,17,11,29.7,GK,903b6e8b
75,Bernd Leno,39,2019-2020,27,de GER,Arsenal,eng Premier League,30,2649,29.4,30,0,0,0,0,0,0,0,0,0,39,151,111,78.1,9,13,8,7,23.3,GK,2628fd2b
76,Kepa Arrizabalaga,39,2018-2019,23,es ESP,Chelsea,eng Premier League,36,3240,36.0,36,0,2,0,0,0,0,0,0,0,39,121,81,68.6,20,8,8,14,38.9,GK,28d596a0
77,Aaron Ramsdale,39,2021-2022,23,eng ENG,Arsenal,eng Premier League,34,3060,34.0,34,0,2,0,0,0,0,0,0,0,39,128,90,73.4,21,3,10,12,35.3,GK,466fb2c5
78,Jordan Pickford,39,2020-2021,26,eng ENG,Everton,eng Premier League,31,2742,30.5,31,0,2,0,0,0,0,0,0,0,39,128,90,71.1,15,5,11,10,32.3,GK,4806ec67
79,Hugo Lloris,39,2022-2023,35,fr FRA,Tottenham,eng Premier League,25,2205,24.5,25,0,1,0,0,0,0,0,0,0,39,117,79,67.5,13,3,9,7,28.0,GK,8f62b6ee
80,Neto,39,2022-2023,33,br BRA,Bournemouth,eng Premier League,27,2385,26.5,27,0,3,0,0,0,0,0,0,0,39,138,100,74.6,9,6,12,6,22.2,GK,a9dc785c
81,Đorđe Petrović,38,2023-2024,23,rs SRB,Chelsea,eng Premier League,23,1987,22.1,22,1,12,0,0,0,0,0,0,0,38,108,73,65.7,13,5,4,5,22.7,GK,0cf321c8
82,Emiliano Martínez,38,2022-2023,29,ar ARG,Aston Villa,eng Premier League,36,3139,34.9,36,0,1,0,0,0,0,0,0,0,38,132,97,74.2,17,7,12,11,30.6,GK,7956236f
83,Bernd Leno,37,2020-2021,28,de GER,Arsenal,eng Premier League,35,3131,34.8,35,0,2,0,0,0,0,0,0,0,37,117,83,69.2,17,6,12,11,31.4,GK,2628fd2b
84,Nick Pope,37,2020-2021,28,eng ENG,Burnley,eng Premier League,32,2880,32.0,32,0,0,0,0,0,0,0,0,0,37,149,113,77.2,10,9,13,11,34.4,GK,4b40d9ca
85,David de Gea,36,2019-2020,28,es ESP,Manchester Utd,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,36,131,96,74.8,18,12,8,13,34.2,GK,7ba6d84e
86,Alex McCarthy,35,2019-2020,29,eng ENG,Southampton,eng Premier League,28,2520,28.0,28,0,8,0,0,0,0,0,0,0,35,113,78,69.9,13,5,10,7,25.0,GK,36c2ca73
87,Martin Dúbravka,35,2021-2022,32,sk SVK,Newcastle Utd,eng Premier League,26,2340,26.0,26,0,3,0,0,0,0,0,0,0,35,106,72,67.9,13,4,9,8,30.8,GK,3a949a25
88,Tom Heaton,35,2019-2020,33,eng ENG,Aston Villa,eng Premier League,20,1794,19.9,20,0,0,0,0,0,0,0,0,0,35,102,68,68.6,6,3,11,4,20.0,GK,a6de6361
89,Fraser Forster,35,2021-2022,33,eng ENG,Southampton,eng Premier League,19,1710,19.0,19,0,14,0,0,0,0,0,0,0,35,101,68,67.3,6,5,8,3,15.8,GK,c3e39f12
90,Jason Steele,34,2023-2024,32,eng ENG,Brighton,eng Premier League,17,1530,17.0,17,0,21,0,0,0,0,0,0,0,34,74,42,58.1,5,4,8,2,11.8,GK,28300a16
91,Łukasz Fabiański,34,2019-2020,34,pl POL,West Ham,eng Premier League,25,2117,23.5,25,0,0,0,0,0,0,0,0,0,34,104,71,70.2,8,7,10,5,20.0,GK,9328b835
92,Vicente Guaita,34,2022-2023,35,es ESP,Crystal Palace,eng Premier League,27,2430,27.0,27,0,5,0,0,0,0,0,0,0,34,116,84,72.4,7,9,11,6,22.2,GK,ab13a5aa
93,Kepa Arrizabalaga,33,2022-2023,27,es ESP,Chelsea,eng Premier League,29,2565,28.5,29,0,7,0,0,0,0,0,0,0,33,120,90,73.3,8,9,12,9,31.0,GK,28d596a0
94,Hugo Lloris,33,2018-2019,31,fr FRA,Tottenham,eng Premier League,33,2970,33.0,33,0,0,0,0,0,0,0,0,0,33,130,98,76.9,21,2,10,12,36.4,GK,8f62b6ee
95,Vicente Guaita,33,2021-2022,34,es ESP,Crystal Palace,eng Premier League,30,2655,29.5,30,0,5,0,0,0,0,0,0,0,33,116,83,74.1,9,11,10,11,36.7,GK,ab13a5aa
96,Dean Henderson,33,2019-2020,22,eng ENG,Sheffield Utd,eng Premier League,36,3240,36.0,36,0,0,0,0,0,0,0,0,0,33,128,94,75.0,14,11,11,13,36.1,GK,e5a76dfe
97,Ederson,32,2022-2023,28,br BRA,Manchester City,eng Premier League,35,3150,35.0,35,0,3,0,1,1,0,0,0,0,32,77,46,62.3,26,4,5,11,31.4,GK,3bb7b8b4
98,Nick Pope,32,2022-2023,30,eng ENG,Newcastle Utd,eng Premier League,37,3261,36.2,37,0,0,0,0,0,0,0,0,0,32,118,85,74.6,19,13,5,14,37.8,GK,4b40d9ca
99,Alisson,32,2020-2021,27,br BRA,Liverpool,eng Premier League,33,2970,33.0,33,0,0,1,0,1,1,0,0,0,32,115,82,75.7,18,8,7,10,30.3,GK,7a2e46a8
100,David de Gea,32,2020-2021,29,es ESP,Manchester Utd,eng Premier League,26,2295,25.5,26,0,7,0,0,0,0,0,0,0,32,90,59,68.9,12,9,5,9,34.6,GK,7ba6d84e
101,Keylor Navas,32,2022-2023,35,cr CRC,Nott'ham Forest,eng Premier League,17,1529,17.0,17,0,0,0,0,0,0,0,0,0,32,83,51,66.3,4,4,9,1,5.9,GK,ecada4fc
102,Mark Travers,32,2022-2023,23,ie IRL,Bournemouth,eng Premier League,12,1035,11.5,11,1,26,0,0,0,0,0,0,0,32,66,36,54.5,2,0,9,2,18.2,GK,fe558029
103,Edouard Mendy,31,2021-2022,29,sn SEN,Chelsea,eng Premier League,34,3060,34.0,34,0,0,0,0,0,0,0,0,0,31,102,72,75.5,19,10,5,14,41.2,GK,33887998
104,Dean Henderson,31,2022-2023,25,eng ENG,Nott'ham Forest,eng Premier League,18,1620,18.0,18,0,0,0,0,0,0,0,0,0,31,85,52,65.9,5,5,8,6,33.3,GK,e5a76dfe
105,Robert Sánchez,30,2022-2023,24,es ESP,Brighton,eng Premier League,23,2070,23.0,23,0,10,0,0,0,0,0,0,0,30,74,46,66.2,11,5,7,6,26.1,GK,6a713852
106,Alisson,30,2023-2024,30,br BRA,Liverpool,eng Premier League,28,2520,28.0,28,0,0,0,0,0,0,0,0,0,30,109,80,73.4,16,8,4,8,28.6,GK,7a2e46a8
107,Dean Henderson,30,2023-2024,26,eng ENG,2 Teams,eng Premier League,18,1620,18.0,18,0,10,0,0,0,0,0,0,0,30,86,57,66.3,8,4,6,4,22.2,GK,e5a76dfe
108,Daniel Bachmann,28,2021-2022,27,at AUT,Watford,eng Premier League,12,1080,12.0,12,0,25,0,0,0,0,0,0,0,28,72,46,65.3,1,0,11,0,0.0,GK,1c0eea98
109,Ederson,28,2019-2020,25,br BRA,Manchester City,eng Premier League,35,3071,34.1,35,0,0,0,0,0,0,0,0,0,28,95,68,73.7,24,3,8,16,45.7,GK,3bb7b8b4
110,Ederson,28,2020-2021,26,br BRA,Manchester City,eng Premier League,36,3240,36.0,36,0,0,0,1,1,0,0,0,0,28,93,65,77.4,25,5,6,19,52.8,GK,3bb7b8b4
111,Matt Turner,28,2023-2024,29,us USA,Nott'ham Forest,eng Premier League,17,1530,17.0,17,0,20,0,0,0,0,0,0,0,28,80,52,67.5,4,5,8,2,11.8,GK,4a51ba65
112,Bart Verbruggen,28,2023-2024,20,nl NED,Brighton,eng Premier League,21,1890,21.0,21,0,17,0,0,0,0,0,0,0,28,91,63,72.5,7,8,6,4,19.0,GK,cf134113
113,Alex McCarthy,27,2021-2022,31,eng ENG,Southampton,eng Premier League,17,1530,17.0,17,0,1,0,0,0,0,0,0,0,27,71,44,62.0,3,7,7,5,29.4,GK,36c2ca73
114,Ederson,27,2023-2024,29,br BRA,Manchester City,eng Premier League,33,2785,30.9,33,0,2,0,0,0,0,0,0,0,27,82,56,70.7,24,6,3,10,30.3,GK,3bb7b8b4
115,Robert Sánchez,27,2020-2021,22,es ESP,Brighton,eng Premier League,27,2430,27.0,27,0,0,0,0,0,0,0,0,0,27,91,65,72.5,7,10,10,10,37.0,GK,6a713852
116,Matz Sels,27,2023-2024,31,be BEL,Nott'ham Forest,eng Premier League,16,1440,16.0,16,0,0,0,0,0,0,0,0,0,27,61,36,57.4,4,4,8,1,6.3,GK,834b5c4c
117,David Raya,27,2021-2022,25,es ESP,Brentford,eng Premier League,24,2160,24.0,24,0,0,0,0,0,0,0,0,0,27,103,76,77.7,10,5,9,8,33.3,GK,98ea5115
118,Sam Johnstone,27,2023-2024,30,eng ENG,Crystal Palace,eng Premier League,20,1796,20.0,20,0,4,0,0,0,0,0,0,0,27,67,41,62.7,5,6,9,6,30.0,GK,9e5708be
119,Tom Heaton,27,2018-2019,32,eng ENG,Burnley,eng Premier League,19,1710,19.0,19,0,19,0,0,0,0,0,0,0,27,83,59,68.7,8,4,7,4,21.1,GK,a6de6361
120,Ederson,26,2021-2022,27,br BRA,Manchester City,eng Premier League,37,3330,37.0,37,0,0,0,0,0,0,0,0,0,26,83,57,69.9,28,6,3,20,54.1,GK,3bb7b8b4
121,Paulo Gazzaniga,26,2019-2020,27,ar ARG,Tottenham,eng Premier League,18,1613,17.9,17,1,20,0,0,0,0,0,0,0,26,82,56,72.0,5,5,7,2,11.8,GK,63d17038
122,Wayne Hennessey,26,2018-2019,31,wls WAL,Crystal Palace,eng Premier League,18,1576,17.5,17,1,15,0,0,0,0,0,0,0,26,69,42,66.7,4,3,10,5,29.4,GK,76eca7e2
123,Edouard Mendy,25,2020-2021,28,sn SEN,Chelsea,eng Premier League,31,2745,30.5,31,0,3,0,0,0,0,0,0,0,25,81,56,71.6,17,7,7,16,51.6,GK,33887998
124,Ivo Grbić,25,2023-2024,27,hr CRO,Sheffield Utd,eng Premier League,9,771,8.6,9,0,5,0,0,0,0,0,0,0,25,59,36,57.6,0,3,6,0,0.0,GK,3f034750
125,Robert Sánchez,25,2023-2024,25,es ESP,Chelsea,eng Premier League,16,1433,15.9,16,0,2,0,0,0,0,0,0,0,25,78,52,70.5,5,4,7,3,18.8,GK,6a713852
126,Angus Gunn,25,2019-2020,23,sct SCO,Southampton,eng Premier League,10,900,10.0,10,0,28,0,0,0,0,0,0,0,25,55,30,58.2,2,2,6,2,20.0,GK,e082af5b
127,Alisson,24,2021-2022,28,br BRA,Liverpool,eng Premier League,36,3240,36.0,36,0,0,0,1,1,0,0,0,0,24,99,76,75.8,27,7,2,20,55.6,GK,7a2e46a8
128,David Raya,24,2023-2024,27,es ESP,Arsenal,eng Premier League,32,2880,32.0,32,0,3,0,0,0,0,0,0,0,24,69,45,68.1,23,4,5,16,50.0,GK,98ea5115
129,Fraser Forster,24,2022-2023,34,eng ENG,Tottenham,eng Premier League,14,1215,13.5,13,1,24,0,0,0,0,0,0,0,24,55,30,60.0,5,3,5,3,23.1,GK,c3e39f12
130,Álvaro Fernández,24,2021-2022,23,es ESP,Brentford,eng Premier League,12,1080,12.0,12,0,19,0,0,0,0,0,0,0,24,69,47,66.7,3,2,7,1,8.3,GK,f127d782
131,Jason Steele,23,2022-2023,31,eng ENG,Brighton,eng Premier League,15,1350,15.0,15,0,22,0,1,1,0,0,0,0,23,57,36,61.4,7,3,5,6,40.0,GK,28300a16
132,Ederson,23,2018-2019,24,br BRA,Manchester City,eng Premier League,38,3420,38.0,38,0,0,0,1,1,0,0,0,0,23,81,58,76.5,32,2,4,20,52.6,GK,3bb7b8b4
133,Alisson,23,2019-2020,26,br BRA,Liverpool,eng Premier League,29,2543,28.3,29,0,0,0,1,1,0,0,0,0,23,80,58,72.5,23,3,3,13,44.8,GK,7a2e46a8
134,Vicente Guaita,23,2018-2019,31,es ESP,Crystal Palace,eng Premier League,20,1754,19.5,20,0,17,0,0,0,0,0,0,0,23,85,63,74.1,10,4,6,7,35.0,GK,ab13a5aa
135,Daniel Iversen,22,2022-2023,25,dk DEN,Leicester City,eng Premier League,12,1080,12.0,12,0,26,0,0,0,0,0,0,0,22,59,38,66.1,2,4,6,1,8.3,GK,10d221cd
136,Alisson,22,2018-2019,25,br BRA,Liverpool,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,22,96,74,77.1,30,7,1,21,55.3,GK,7a2e46a8
137,Angus Gunn,22,2021-2022,25,sct SCO,Norwich City,eng Premier League,9,810,9.0,9,0,29,0,0,0,0,0,0,0,22,57,34,64.9,1,2,6,1,11.1,GK,e082af5b
