,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,-additional
Rk,Player,GA,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,GA,SoTA,Saves,Save%,W,D,L,CS,CS%,Pos,-9999
227,John Ruddy,1,2020-2021,33,eng ENG,Wolves,eng Premier League,2,91,1.0,1,1,36,0,0,0,0,0,0,0,1,4,3,75.0,0,0,1,0,0.0,GK,da8b19e2
228,Kristoffer Klaesson,0,2021-2022,20,no NOR,Leeds United,eng Premier League,1,36,0.4,0,1,37,0,0,0,0,0,0,0,0,4,4,100.0,0,0,0,0,,GK,3f70db80
229,Zack Steffen,0,2021-2022,26,us USA,Manchester City,eng Premier League,1,90,1.0,1,0,29,0,0,0,0,0,0,0,0,2,2,100.0,1,0,0,1,100.0,GK,42130443
230,João Virgínia,0,2020-2021,20,pt POR,Everton,eng Premier League,1,48,0.5,0,1,16,0,0,0,0,0,0,0,0,3,3,100.0,0,0,0,0,,GK,728e9b2e
231,Asmir Begović,0,2022-2023,35,ba BIH,Everton,eng Premier League,1,90,1.0,1,0,37,0,0,0,0,0,0,0,0,4,4,100.0,1,0,0,1,100.0,GK,7b4de647
232,Rúnar Alex Rúnarsson,0,2020-2021,25,is ISL,Arsenal,eng Premier League,1,16,0.2,0,1,21,0,0,0,0,0,0,0,0,2,2,100.0,0,0,0,0,,GK,8fa8f8d2
233,Willy Caballero,0,2018-2019,36,ar ARG,Chelsea,eng Premier League,2,180,2.0,2,0,36,0,0,0,0,0,0,0,0,3,3,100.0,1,1,0,2,100.0,GK,a179d516
234,Will Norris,0,2018-2019,24,eng ENG,Wolves,eng Premier League,1,1,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,,GK,c73ada83
235,John Ruddy,0,2018-2019,31,eng ENG,Wolves,eng Premier League,1,90,1.0,1,0,36,0,0,0,0,0,0,0,0,3,3,100.0,1,0,0,1,100.0,GK,da8b19e2
236,James Shea,0,2023-2024,32,eng ENG,Luton Town,eng Premier League,1,15,0.2,0,1,13,0,0,0,0,0,0,0,0,2,2,100.0,0,0,0,0,,GK,ee7c0a5e
237,Cieran Slicker,,2021-2022,18,sct SCO,Manchester City,eng Premier League,0,,,0,0,3,,,,,,,,,,,,0,0,0,,,GK,02aed921
238,Altay Bayındır,,2023-2024,25,tr TUR,Manchester Utd,eng Premier League,0,,,0,0,33,,,,,,,,,,,,0,0,0,,,GK,072e68ed
239,David Martin,,2020-2021,34,eng ENG,West Ham,eng Premier League,0,,,0,0,15,,,,,,,,,,,,0,0,0,,,GK,07666c20
240,Daniel Langley,,2020-2021,19,eng ENG,Newcastle Utd,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,096d1e60
241,Marcus Bettinelli,,2021-2022,29,eng ENG,Chelsea,eng Premier League,0,,,0,0,7,,,,,,,,,,,,0,0,0,,,GK,0d85a4e8
242,Marcus Bettinelli,,2022-2023,30,eng ENG,Chelsea,eng Premier League,0,,,0,0,17,,,,,,,,,,,,0,0,0,,,GK,0d85a4e8
243,Marcus Bettinelli,,2023-2024,31,eng ENG,Chelsea,eng Premier League,0,0,0.0,0,0,17,0,0,0,0,0,0,0,,,,,,,,,,GK,0d85a4e8
244,Claudio Bravo,,2018-2019,35,cl CHI,Manchester City,eng Premier League,0,,,0,0,2,,,,,,,,,,,,0,0,0,,,GK,10072610
245,Eldin Jakupović,,2021-2022,36,ch SUI,Leicester City,eng Premier League,0,,,0,0,9,,,,,,,,,,,,0,0,0,,,GK,1148323a
246,Eldin Jakupović,,2022-2023,37,ch SUI,Everton,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,1148323a
247,Matt Macey,,2019-2020,24,eng ENG,Arsenal,eng Premier League,0,,,0,0,8,,,,,,,,,,,,0,0,0,,,GK,136e7649
248,Matt Macey,,2020-2021,25,eng ENG,Arsenal,eng Premier League,0,,,0,0,2,,,,,,,,,,,,0,0,0,,,GK,136e7649
249,Andy Lonergan,,2019-2020,35,ie IRL,Liverpool,eng Premier League,0,,,0,0,2,,,,,,,,,,,,0,0,0,,,GK,165cf989
250,Andy Lonergan,,2020-2021,36,ie IRL,West Brom,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,165cf989
251,Andy Lonergan,,2021-2022,37,ie IRL,Everton,eng Premier League,0,,,0,0,11,,,,,,,,,,,,0,0,0,,,GK,165cf989
252,Andy Lonergan,,2022-2023,38,ie IRL,Everton,eng Premier League,0,,,0,0,4,,,,,,,,,,,,0,0,0,,,GK,165cf989
253,Andy Lonergan,,2023-2024,39,ie IRL,Everton,eng Premier League,0,,,0,0,10,,,,,,,,,,,,0,0,0,,,GK,165cf989
254,Marek Rodák,,2023-2024,26,sk SVK,Fulham,eng Premier League,0,0,0.0,0,0,37,0,0,0,0,0,0,0,,,,,,,,,,GK,17acc2ed
255,Freddie Woodman,,2018-2019,21,eng ENG,Newcastle Utd,eng Premier League,0,,,0,0,15,,,,,,,,,,,,0,0,0,,,GK,19e50035
256,William Crellin,,2023-2024,23,eng ENG,Everton,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,1a85a237
257,Michel Vorm,,2019-2020,35,nl NED,Tottenham,eng Premier League,0,,,0,0,9,,,,,,,,,,,,0,0,0,,,GK,1bebde9d
258,Sergio Romero,,2018-2019,31,ar ARG,Manchester Utd,eng Premier League,0,,,0,0,29,,,,,,,,,,,,0,0,0,,,GK,1e26e376
259,Sergio Romero,,2019-2020,32,ar ARG,Manchester Utd,eng Premier League,0,,,0,0,35,,,,,,,,,,,,0,0,0,,,GK,1e26e376
260,Joseph Anang,,2019-2020,19,gh GHA,West Ham,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,21a866b7
261,Joseph Anang,,2022-2023,22,gh GHA,West Ham,eng Premier League,0,,,0,0,7,,,,,,,,,,,,0,0,0,,,GK,21a866b7
262,Joseph Anang,,2023-2024,23,gh GHA,West Ham,eng Premier League,0,,,0,0,7,,,,,,,,,,,,0,0,0,,,GK,21a866b7
263,Krisztián Hegyi,,2022-2023,19,hu HUN,West Ham,eng Premier League,0,,,0,0,3,,,,,,,,,,,,0,0,0,,,GK,2411c7f7
264,James Storer,,2021-2022,19,eng ENG,Wolves,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,257b20e1
265,James Trafford,,2020-2021,17,eng ENG,Manchester City,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,259fea27
266,Remi Matthews,,2021-2022,27,eng ENG,Crystal Palace,eng Premier League,0,,,0,0,7,,,,,,,,,,,,0,0,0,,,GK,27f4f772
267,Jason Steele,,2018-2019,27,eng ENG,Brighton,eng Premier League,0,,,0,0,13,,,,,,,,,,,,0,0,0,,,GK,28300a16
268,Jason Steele,,2020-2021,29,eng ENG,Brighton,eng Premier League,0,,,0,0,30,,,,,,,,,,,,0,0,0,,,GK,28300a16
269,Loris Karius,,2018-2019,25,de GER,Liverpool,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,32e7ce92
270,Loris Karius,,2022-2023,29,de GER,Newcastle Utd,eng Premier League,0,,,0,0,8,,,,,,,,,,,,0,0,0,,,GK,32e7ce92
271,Thomas Strakosha,,2022-2023,27,al ALB,Brentford,eng Premier League,0,,,0,0,17,,,,,,,,,,,,0,0,0,,,GK,339fe0e8
272,Artur Boruc,,2019-2020,39,pl POL,Bournemouth,eng Premier League,0,,,0,0,38,,,,,,,,,,,,0,0,0,,,GK,34ccf6fa
273,Lovre Kalinić,,2019-2020,29,hr CRO,Aston Villa,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,3a74f92b
274,Scott Carson,,2019-2020,33,eng ENG,Manchester City,eng Premier League,0,,,0,0,10,,,,,,,,,,,,0,0,0,,,GK,3e1550ee
275,Scott Carson,,2021-2022,35,eng ENG,Manchester City,eng Premier League,0,,,0,0,18,,,,,,,,,,,,0,0,0,,,GK,3e1550ee
276,Scott Carson,,2022-2023,36,eng ENG,Manchester City,eng Premier League,0,,,0,0,5,,,,,,,,,,,,0,0,0,,,GK,3e1550ee
277,Scott Carson,,2023-2024,37,eng ENG,Manchester City,eng Premier League,0,,,0,0,13,,,,,,,,,,,,0,0,0,,,GK,3e1550ee
278,Alfie Whiteman,,2018-2019,19,eng ENG,Tottenham,eng Premier League,0,,,0,0,2,,,,,,,,,,,,0,0,0,,,GK,3f2587ee
279,Alfie Whiteman,,2019-2020,20,eng ENG,Tottenham,eng Premier League,0,,,0,0,4,,,,,,,,,,,,0,0,0,,,GK,3f2587ee
280,Alfie Whiteman,,2023-2024,24,eng ENG,Tottenham,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,3f2587ee
281,Ethan Horvath,,2023-2024,28,us USA,Nott'ham Forest,eng Premier League,0,,,0,0,4,,,,,,,,,,,,0,0,0,,,GK,3f65d5ce
282,Kristoffer Klaesson,,2022-2023,21,no NOR,Leeds United,eng Premier League,0,,,0,0,11,,,,,,,,,,,,0,0,0,,,GK,3f70db80
283,Joseph Whitworth,,2023-2024,19,eng ENG,Crystal Palace,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,3f847d95
284,Michael Verrips,,2019-2020,22,nl NED,Sheffield Utd,eng Premier League,0,,,0,0,12,,,,,,,,,,,,0,0,0,,,GK,424595d5
285,Michael Verrips,,2020-2021,23,nl NED,Sheffield Utd,eng Premier League,0,,,0,0,13,,,,,,,,,,,,0,0,0,,,GK,424595d5
286,Andreas Søndergaard,,2020-2021,19,dk DEN,Wolves,eng Premier League,0,,,0,0,3,,,,,,,,,,,,0,0,0,,,GK,43f9b4ba
287,Jon McCracken,,2021-2022,21,sct SCO,Norwich City,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,47188db7
288,Brian Murphy,,2018-2019,35,ie IRL,Cardiff City,eng Premier League,0,,,0,0,12,,,,,,,,,,,,0,0,0,,,GK,47e0ce24
289,Lukas Jensen,,2019-2020,20,dk DEN,Burnley,eng Premier League,0,,,0,0,3,,,,,,,,,,,,0,0,0,,,GK,47ed3795
290,Bailey Peacock-Farrell,,2019-2020,22,nir NIR,Burnley,eng Premier League,0,,,0,0,9,,,,,,,,,,,,0,0,0,,,GK,4879f8cb
291,Matt Turner,,2022-2023,28,us USA,Arsenal,eng Premier League,0,,,0,0,37,,,,,,,,,,,,0,0,0,,,GK,4a51ba65
292,Patrik Gunnarsson,,2021-2022,20,is ISL,Brentford,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,4d39152d
293,Tom McGill,,2020-2021,20,eng ENG,Brighton,eng Premier League,0,,,0,0,2,,,,,,,,,,,,0,0,0,,,GK,4eb2d015
294,Tom McGill,,2021-2022,21,eng ENG,Brighton,eng Premier League,0,,,0,0,3,,,,,,,,,,,,0,0,0,,,GK,4eb2d015
295,Tom McGill,,2022-2023,22,eng ENG,Brighton,eng Premier League,0,,,0,0,6,,,,,,,,,,,,0,0,0,,,GK,4eb2d015
296,Jordan Amissah,,2023-2024,21,gh GHA,Sheffield Utd,eng Premier League,0,,,0,0,6,,,,,,,,,,,,0,0,0,,,GK,50fc4c0a
297,Michael McGovern,,2021-2022,37,nir NIR,Norwich City,eng Premier League,0,,,0,0,6,,,,,,,,,,,,0,0,0,,,GK,51a19d04
298,Vincent Angelini,,2021-2022,17,sct SCO,Watford,eng Premier League,0,,,0,0,3,,,,,,,,,,,,0,0,0,,,GK,536e58cc
299,Vincent Angelini,,2023-2024,19,sct SCO,Brentford,eng Premier League,0,,,0,0,2,,,,,,,,,,,,0,0,0,,,GK,536e58cc
300,Karlo Ziger,,2020-2021,19,hr CRO,Chelsea,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,53b781b9
301,Liam Hughes,,2020-2021,18,nir NIR,Liverpool,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,54ae11f8
302,Jake Eastwood,,2019-2020,22,eng ENG,Sheffield Utd,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,54d9b72d
303,Joe Gauci,,2023-2024,23,au AUS,Aston Villa,eng Premier League,0,,,0,0,5,,,,,,,,,,,,0,0,0,,,GK,5600c774
304,Tom King,,2023-2024,28,wls WAL,Wolves,eng Premier League,0,,,0,0,4,,,,,,,,,,,,0,0,0,,,GK,5791b997
305,Hákon Valdimarsson,,2023-2024,21,is ISL,Brentford,eng Premier League,0,,,0,0,4,,,,,,,,,,,,0,0,0,,,GK,57a34cf4
306,George Shelvey,,2022-2023,21,eng ENG,Nott'ham Forest,eng Premier League,0,,,0,0,2,,,,,,,,,,,,0,0,0,,,GK,5ab61aea
307,Brandon Austin,,2019-2020,20,eng ENG,Tottenham,eng Premier League,0,,,0,0,4,,,,,,,,,,,,0,0,0,,,GK,5e253986
308,Brandon Austin,,2021-2022,22,eng ENG,Tottenham,eng Premier League,0,,,0,0,4,,,,,,,,,,,,0,0,0,,,GK,5e253986
309,Brandon Austin,,2022-2023,23,eng ENG,Tottenham,eng Premier League,0,,,0,0,15,,,,,,,,,,,,0,0,0,,,GK,5e253986
310,Brandon Austin,,2023-2024,24,eng ENG,Tottenham,eng Premier League,0,,,0,0,18,,,,,,,,,,,,0,0,0,,,GK,5e253986
311,Caoimhín Kelleher,,2019-2020,20,ie IRL,Liverpool,eng Premier League,0,,,0,0,7,,,,,,,,,,,,0,0,0,,,GK,62d7ef38
312,Darren Randolph,,2021-2022,34,ie IRL,West Ham,eng Premier League,0,,,0,0,3,,,,,,,,,,,,0,0,0,,,GK,6385ebfb
313,Darren Randolph,,2022-2023,35,ie IRL,2 Teams,eng Premier League,0,,,0,0,11,,,,,,,,,,,,0,0,0,,,GK,6385ebfb
314,Darren Randolph,,2023-2024,36,ie IRL,Bournemouth,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,6385ebfb
315,Archie Mair,,2019-2020,18,sct SCO,Norwich City,eng Premier League,0,,,0,0,2,,,,,,,,,,,,0,0,0,,,GK,70e9afd8
316,Adam Davies,,2023-2024,31,wls WAL,Sheffield Utd,eng Premier League,0,,,0,0,18,,,,,,,,,,,,0,0,0,,,GK,71894777
317,João Virgínia,,2019-2020,19,pt POR,Everton,eng Premier League,0,,,0,0,8,,,,,,,,,,,,0,0,0,,,GK,728e9b2e
318,João Virgínia,,2023-2024,23,pt POR,Everton,eng Premier League,0,,,0,0,38,,,,,,,,,,,,0,0,0,,,GK,728e9b2e
319,Ryan Schofield,,2018-2019,18,eng ENG,Huddersfield,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,74947a21
320,Nathan Trott,,2020-2021,21,eng ENG,West Ham,eng Premier League,0,,,0,0,10,,,,,,,,,,,,0,0,0,,,GK,7494bea9
321,Arthur Okonkwo,,2021-2022,19,eng ENG,Arsenal,eng Premier League,0,,,0,0,7,,,,,,,,,,,,0,0,0,,,GK,75834acc
322,Wayne Hennessey,,2020-2021,33,wls WAL,Crystal Palace,eng Premier League,0,,,0,0,5,,,,,,,,,,,,0,0,0,,,GK,76eca7e2
323,Wayne Hennessey,,2023-2024,36,wls WAL,Nott'ham Forest,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,76eca7e2
324,Emiliano Martínez,,2018-2019,25,ar ARG,Arsenal,eng Premier League,0,,,0,0,2,,,,,,,,,,,,0,0,0,,,GK,7956236f
325,Louie Moulden,,2021-2022,19,eng ENG,Wolves,eng Premier League,0,,,0,0,9,,,,,,,,,,,,0,0,0,,,GK,7b7de75a
326,Eddie Beach,,2023-2024,19,wls WAL,Chelsea,eng Premier League,0,,,0,0,2,,,,,,,,,,,,0,0,0,,,GK,7cbd6d68
327,Teddy Sharman,,2023-2024,20,eng ENG,Chelsea,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,7cd31238
328,Joe Daniel Tupper,,2018-2019,20,eng ENG,Crystal Palace,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,7d675f6f
329,Owen Goodman,,2022-2023,18,ca CAN,Crystal Palace,eng Premier League,0,,,0,0,4,,,,,,,,,,,,0,0,0,,,GK,8074e66f
330,Cameron Plain,,2022-2023,20,eng ENG,Bournemouth,eng Premier League,0,,,0,0,6,,,,,,,,,,,,0,0,0,,,GK,8c45f10e
331,Sam Waller,,2021-2022,17,eng ENG,Burnley,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,8ee48565
332,Fabian Mrozek,,2023-2024,19,pl POL,Liverpool,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,927eecf9
333,Jonas Lössl,,2019-2020,30,dk DEN,Everton,eng Premier League,0,,,0,0,13,,,,,,,,,,,,0,0,0,,,GK,939bc634
334,Jonas Lössl,,2020-2021,31,dk DEN,Everton,eng Premier League,0,,,0,0,8,,,,,,,,,,,,0,0,0,,,GK,939bc634
335,James Wright,,2022-2023,17,eng ENG,Aston Villa,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,9417a430
336,James Wright,,2023-2024,18,eng ENG,Aston Villa,eng Premier League,0,,,0,0,3,,,,,,,,,,,,0,0,0,,,GK,9417a430
337,Jakub Ojrzynski,,2020-2021,17,pl POL,Liverpool,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,94e5390a
338,Wes Foderingham,,2020-2021,29,eng ENG,Sheffield Utd,eng Premier League,0,,,0,0,25,,,,,,,,,,,,0,0,0,,,GK,96cf7b61
339,Elia Caprile,,2020-2021,18,it ITA,Leeds United,eng Premier League,0,,,0,0,5,,,,,,,,,,,,0,0,0,,,GK,97d7afbd
340,Arijanet Muric,,2018-2019,19,xk KVX,Manchester City,eng Premier League,0,,,0,0,36,,,,,,,,,,,,0,0,0,,,GK,99aa1a84
341,Callan Mckenna,,2023-2024,16,sct SCO,Bournemouth,eng Premier League,0,,,0,0,3,,,,,,,,,,,,0,0,0,,,GK,9d316492
342,Lee Grant,,2018-2019,35,eng ENG,Manchester Utd,eng Premier League,0,,,0,0,9,,,,,,,,,,,,0,0,0,,,GK,9dab6e3b
343,Lee Grant,,2019-2020,36,eng ENG,Manchester Utd,eng Premier League,0,,,0,0,3,,,,,,,,,,,,0,0,0,,,GK,9dab6e3b
344,Lee Grant,,2020-2021,37,eng ENG,Manchester Utd,eng Premier League,0,,,0,0,6,,,,,,,,,,,,0,0,0,,,GK,9dab6e3b
345,Willy Caballero,,2022-2023,40,ar ARG,Southampton,eng Premier League,0,,,0,0,11,,,,,,,,,,,,0,0,0,,,GK,a179d516
346,Viljami Sinisalo,,2021-2022,19,fi FIN,Aston Villa,eng Premier League,0,,,0,0,2,,,,,,,,,,,,0,0,0,,,GK,a48635b8
347,Viljami Sinisalo,,2022-2023,20,fi FIN,Aston Villa,eng Premier League,0,,,0,0,15,,,,,,,,,,,,0,0,0,,,GK,a48635b8
348,Tom Heaton,,2020-2021,34,eng ENG,Aston Villa,eng Premier League,0,,,0,0,23,,,,,,,,,,,,0,0,0,,,GK,a6de6361
349,Tom Heaton,,2021-2022,35,eng ENG,Manchester Utd,eng Premier League,0,,,0,0,14,,,,,,,,,,,,0,0,0,,,GK,a6de6361
350,Tom Heaton,,2022-2023,36,eng ENG,Manchester Utd,eng Premier League,0,,,0,0,23,,,,,,,,,,,,0,0,0,,,GK,a6de6361
351,Tom Heaton,,2023-2024,37,eng ENG,Manchester Utd,eng Premier League,0,,,0,0,4,,,,,,,,,,,,0,0,0,,,GK,a6de6361
352,Filip Marschall,,2021-2022,18,eng ENG,Aston Villa,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,a79abd8b
353,Filip Marschall,,2022-2023,19,eng ENG,Aston Villa,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,a79abd8b
354,Filip Marschall,,2023-2024,20,eng ENG,Aston Villa,eng Premier League,0,,,0,0,10,,,,,,,,,,,,0,0,0,,,GK,a79abd8b
355,Matija Šarkić,,2022-2023,25,me MNE,Wolves,eng Premier League,0,,,0,0,20,,,,,,,,,,,,0,0,0,,,GK,a89e7b29
356,Jed Steer,,2019-2020,26,eng ENG,Aston Villa,eng Premier League,1,7,0.1,1,0,12,0,0,0,0,0,0,0,,,,,,,1,,,GK,a8a3d139
357,Jed Steer,,2020-2021,27,eng ENG,Aston Villa,eng Premier League,0,,,0,0,15,,,,,,,,,,,,0,0,0,,,GK,a8a3d139
358,Lawrence Vigouroux,,2023-2024,29,cl CHI,Burnley,eng Premier League,0,,,0,0,5,,,,,,,,,,,,0,0,0,,,GK,a949d040
359,Karl Jakob Hein,,2021-2022,19,ee EST,Arsenal,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,aa81d8f8
360,Karl Jakob Hein,,2022-2023,20,ee EST,Arsenal,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,aa81d8f8
361,Karl Jakob Hein,,2023-2024,21,ee EST,Arsenal,eng Premier League,0,,,0,0,5,,,,,,,,,,,,0,0,0,,,GK,aa81d8f8
362,Fabricio,,2020-2021,32,es ESP,Fulham,eng Premier League,0,,,0,0,8,,,,,,,,,,,,0,0,0,,,GK,af245161
363,Harry Tyrer,,2020-2021,18,eng ENG,Everton,eng Premier League,0,,,0,0,5,,,,,,,,,,,,0,0,0,,,GK,af49fb14
364,Harry Tyrer,,2021-2022,19,eng ENG,Everton,eng Premier League,0,,,0,0,2,,,,,,,,,,,,0,0,0,,,GK,af49fb14
365,Rob Elliot,,2019-2020,33,ie IRL,Newcastle Utd,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,b1b25949
366,Rob Elliot,,2021-2022,35,ie IRL,Watford,eng Premier League,0,,,0,0,9,,,,,,,,,,,,0,0,0,,,GK,b1b25949
